Price,Close,High,Low,Open,Volume,SMA_10,SMA_50,Daily_Return,Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2015-03-16,27.783702850341797,27.783702850341797,27.321198310599407,27.545779246523967,143497200,27.968033409118654,26.562143173217773,0.011004357962286493,28.248428344726562
2015-03-17,28.248428344726562,28.310688462772674,27.93935011838267,27.99493975184684,204092400,27.916446685791016,26.642813911437987,0.016726549981045835,28.566402435302734
2015-03-18,28.566402435302734,28.719830373617224,28.09944983193032,28.239535104003725,261083600,27.91489028930664,26.743487510681152,0.01125634625388039,28.350717544555664
2015-03-19,28.350717544555664,28.73984504026525,28.328482026950223,28.628665755776797,183238000,27.93912754058838,26.839803161621095,-0.007550299385284953,27.99494171142578
2015-03-20,27.99494171142578,28.55083638851777,27.830396859863175,28.517483963273463,274780400,27.923562812805176,26.922402954101564,-0.012549094483084944,28.286231994628906
2015-03-23,28.286231994628906,28.428541336208223,28.13280404655136,28.266220538685488,150838800,27.925119972229005,26.9924898147583,0.010405104115085217,28.170602798461914
2015-03-24,28.170602798461914,28.470784779166674,28.14169510373466,28.290676608620394,131369200,27.97359428405762,27.05973243713379,-0.004087826055762633,27.434595108032227
2015-03-25,27.434595108032227,28.199509002111668,27.434595108032227,28.13724888449329,206620800,27.998942947387697,27.12448081970215,-0.026126799475866158,27.625825881958008
2015-03-26,27.625825881958008,27.76813521878184,27.261157994289306,27.29673617672582,190291600,27.99427375793457,27.188757057189942,0.006970424501354877,27.405683517456055
2015-03-27,27.405683517456055,27.728102644959524,27.33008244619176,27.699196652380934,158184800,27.986713218688966,27.25049087524414,-0.00796871613694361,28.099449157714844
2015-03-30,28.099449157714844,28.106119642444803,27.572458810054766,27.58357741557871,188398800,28.01828784942627,27.33930061340332,0.02531466291716078,27.668075561523438
2015-03-31,27.668075561523438,28.12613365015108,27.652510530253405,28.03718988726754,168362400,27.960252571105958,27.423159408569337,-0.015351674467717125,27.6280517578125
2015-04-01,27.6280517578125,27.821504320484593,27.37233906824674,27.754796072263535,162485600,27.866417503356935,27.494124794006346,-0.0014465698426310292,27.865964889526367
2015-04-02,27.865964889526367,27.919330450184276,27.614700415653992,27.80148072618696,128880400,27.817942237854005,27.566171646118164,0.008611288765469682,28.317358016967773
2015-04-06,28.317358016967773,28.352936195517167,27.645836013226795,27.676966071227053,148776000,27.8501838684082,27.634621925354004,0.016198725909220668,28.0194034576416
2015-04-07,28.0194034576416,28.48857847251313,28.012732972076122,28.381847310542977,140049200,27.82350101470947,27.694543724060058,-0.01052197592542492,27.92823028564453
2015-04-08,27.92823028564453,28.106117783496007,27.788145026197608,27.983819916665507,149316800,27.799263763427735,27.752110481262207,-0.0032539298038554154,28.141695022583008
2015-04-09,28.141695022583008,28.146143143202508,27.7192151726219,27.98382066980979,129936000,27.869973754882814,27.831488189697264,0.007643332024807936,28.261775970458984
2015-04-10,28.261775970458984,28.286235550661125,27.85263698609843,28.006063257002946,160752000,27.93356876373291,27.885936431884765,0.004267011911671004,28.206178665161133
2015-04-13,28.206178665161133,28.588637297522965,28.15281309396547,28.54416287801489,145460400,28.01361827850342,27.923369941711425,-0.001967226169932279,28.08388328552246
2015-04-14,28.08388328552246,28.30401775731362,27.997163593711978,28.239533579423085,102098400,28.01206169128418,27.966065254211426,-0.004335765616833576,28.19061851501465
2015-04-15,28.19061851501465,28.268443673239815,28.019403166919286,28.10834693194571,115881600,28.0643159866333,28.004383735656738,0.0038005865644374914,28.054977416992188
2015-04-16,28.054977416992188,28.261770933185833,28.04163644706391,28.07943699283474,113476000,28.10700855255127,28.03990077972412,-0.004811568712130843,27.739229202270508
2015-04-17,27.739229202270508,28.04830745205387,27.674745018986492,27.917116721430638,207828000,28.094334983825682,28.065071830749513,-0.011254623734982538,28.37295150756836
2015-04-20,28.37295150756836,28.48857721065811,27.83262014670152,27.92156390871118,188217200,28.099894332885743,28.09913719177246,0.022845707091456502,28.219528198242188
2015-04-21,28.219528198242188,28.506369273516984,28.166160917597324,28.484135451273627,129740400,28.1199068069458,28.134625701904298,-0.0054073792529214515,28.599756240844727
2015-04-22,28.599756240844727,28.655345879560674,28.08833258253471,28.23731240714277,150618000,28.18705940246582,28.174205665588378,0.01347393336739855,28.833232879638672
2015-04-23,28.833232879638672,29.00000179276501,28.493024568294725,28.52860275072968,183083600,28.256213188171387,28.208226585388182,0.00816358841760012,28.968868255615234
2015-04-24,28.968868255615234,29.046695096238576,28.73539112666703,29.0155650385736,178103600,28.32692241668701,28.232241134643555,0.004704133474826122,29.495861053466797
2015-04-27,29.495861053466797,29.602595603096105,29.162323219950373,29.420259958837757,387816800,28.455890655517578,28.25976921081543,0.018191694380377266,29.031124114990234
2015-04-28,29.031124114990234,29.916109961374485,28.810991379817118,29.898324267820577,475696000,28.550614738464354,28.275245246887206,-0.01575600514370945,28.60420036315918
2015-04-29,28.60420036315918,29.26015732972162,28.5285992793757,28.942186269320725,253544400,28.59197292327881,28.278847427368163,-0.014705725832042882,27.828168869018555
2015-04-30,27.828168869018555,28.604199621886025,27.70142458160776,28.604199621886025,332781600,28.569292068481445,28.26297103881836,-0.02712998385859844,28.673126220703125
2015-05-01,28.673126220703125,28.93551099968801,27.861519100303585,28.039404872031163,234050400,28.662681770324706,28.265194511413576,0.03036338307639319,28.617542266845703
2015-05-04,28.617542266845703,29.033355027085868,28.519703970318606,28.795429770265706,203953200,28.68714084625244,28.26163677215576,-0.0019385383173631254,27.972702026367188
2015-05-05,27.972702026367188,28.56195073733543,27.968253906023552,28.495242503867665,197085600,28.662458229064942,28.22961696624756,-0.022533040554834183,27.797042846679688
2015-05-06,27.797042846679688,28.18394624917403,27.430150899410055,28.141697581751504,288564000,28.582186889648437,28.197775268554686,-0.006279664349976732,27.96897315979004
2015-05-07,27.96897315979004,28.152068713553735,27.69209562693978,27.85956113478025,175763600,28.495760917663574,28.18440368652344,0.006185201571932364,28.495929718017578
2015-05-08,28.495929718017578,28.495929718017578,28.158765372131114,28.286039082313177,222201600,28.44846706390381,28.174322242736817,0.018840754546724847,28.205656051635742
2015-05-11,28.205656051635742,28.482531869675185,28.051587245555062,28.444573431626868,168143200,28.319446563720703,28.16715171813965,-0.010186495729539224,28.10517692565918
2015-05-12,28.10517692565918,28.330695903089556,27.870724547028903,28.044888392389844,192640000,28.226851844787596,28.155169906616212,-0.003562375070894186,28.13644027709961
2015-05-13,28.13644027709961,28.399919425982123,28.105180183465016,28.167700370734202,138776800,28.18007583618164,28.142612800598144,0.001112369849979089,28.79289436340332
2015-05-14,28.79289436340332,28.79289436340332,28.39321162731524,28.449033447875188,180814000,28.276548385620117,28.14683135986328,0.023331099451056048,28.752710342407227
2015-05-15,28.752710342407227,28.913477492039792,28.627669983158402,28.81969722260317,152832000,28.284506797790527,28.15971866607666,-0.0013956228397506987,29.069786071777344
2015-05-18,29.069786071777344,29.18812811681569,28.661169736097783,28.66563643791863,203531600,28.32973117828369,28.17810260772705,0.011027681411392543,29.04298973083496
2015-05-19,29.04298973083496,29.223851954649565,28.9469743904439,29.181426809390363,178532800,28.43675994873047,28.193549194335937,-0.000921793537668969,29.04075050354004
2015-05-20,29.04075050354004,29.246174444717788,28.879983348341042,29.027353808455853,145819600,28.561130714416503,28.220647010803223,-7.710044026720819e-05,29.337724685668945
2015-05-21,29.337724685668945,29.391314876050284,28.989396965926638,29.04298715630798,158921600,28.698005867004394,28.263779335021972,0.010226119400485345,29.594507217407227
2015-05-22,29.594507217407227,29.690522560457005,29.339959745898334,29.38461994662565,182384000,28.807863616943358,28.30221912384033,0.008752639630015935,28.942508697509766
2015-05-26,28.942508697509766,29.67712607533172,28.830865009082903,29.607907533642262,282790400,28.88154888153076,28.331443519592284,-0.02203106526179832,29.482866287231445
2015-05-27,29.482866287231445,29.53198978694991,29.038526549453405,29.103278395212143,183332800,29.019317817687988,28.36542678833008,0.018670032904513745,29.424808502197266
2015-05-28,29.424808502197266,29.46276694515732,29.272974730357046,29.442671900136368,122933200,29.148154640197752,28.38895439147949,-0.0019692042309781277,29.089874267578125
2015-05-29,29.089874267578125,29.35112004549353,29.005023988443504,29.30199655832027,203538000,29.177852630615234,28.399423828125,-0.011382715866923299,29.14792823791504
2015-06-01,29.14792823791504,29.337723842184424,29.038519620453748,29.089874755325262,128451200,29.217374420166017,28.41536804199219,0.001995676220629683,29.018423080444336
2015-06-02,29.018423080444336,29.174723530965508,28.875519324668655,28.99609298447233,134670400,29.212238121032716,28.43583766937256,-0.004443031299296463,29.054149627685547
2015-06-03,29.054149627685547,29.237246894728884,29.00502613687366,29.174726707712786,123934000,29.213354110717773,28.45119602203369,0.0012311677702874224,28.884449005126953
2015-06-04,28.884449005126953,29.156859818974553,28.783970388532666,28.93357249005647,153800400,29.197723960876466,28.465472946166994,-0.005840839423394639,28.725919723510742
2015-06-05,28.725919723510742,28.95814050384929,28.661167883222966,28.91571535703196,142507200,29.136543464660644,28.491299438476563,-0.00548839555804137,28.5361270904541
2015-06-08,28.5361270904541,28.85096310562746,28.319538065016676,28.781741157699003,210699200,29.030705451965332,28.509505462646484,-0.006607016759895279,28.451269149780273
2015-06-09,28.451269149780273,28.59863959476817,28.04935300658485,28.290502011083298,224301600,28.981581497192384,28.530417175292968,-0.0029737020866512642,28.777273178100586
2015-06-10,28.777273178100586,28.87998344548777,28.54728578924955,28.562915834749408,156349200,28.911022186279297,28.543973655700682,0.01145832991154383,28.712514877319336
2015-06-11,28.712514877319336,29.067540888725446,28.687953136506042,28.84425357482062,141563600,28.839792823791505,28.5648624420166,-0.0022503279021770517,28.395448684692383
